Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
QB,1,Josh Allen,BUF,7,344,354,378,14.8,1,65,37.3,1,30,16.7,33.5,23,1,1.04,,34,8
QB,2,Lamar Jackson,BAL,13,299,317,344,21.4,8,27.6,5.44,1,29,36,21.7,48,2,2.65,,45,8
QB,3,Jalen Hurts,PHI,10,296,312,327,13.6,11,22.2,0.569,1,28,57.2,13.2,56,3,6.03,,31,6
QB,4,Jayden Daniels,WAS,7,291,311,333,19,56,21.6,7.25,1,25,52.7,12.1,58,4,5.86,,42,2
QB,5,Drake Maye,NE,11,291,304,322,12.9,6,14.4,3.39,1,23,45.3,15.3,79,5,3.56,,31,2
QB,6,Joe Burrow,CIN,6,284,300,325,19.9,19,11,0.554,1,29,49.3,15.6,84,6,4.61,,41,6
QB,7,Jaxson Dart,NYG,8,281,300,322,18.5,78,10.4,4.42,2,23,85,7.77,85,7,13.3,,41,1
QB,8,Caleb Williams,CHI,10,268,295,322,23.1,36,6,3.63,2,24,70,9.27,99,8,7.17,,54,2
QB,9,Dak Prescott,DAL,14,273,292,309,17,33,2.37,0.276,2,33,70.5,9.42,115,9,9.43,,36,10
QB,10,Bo Nix,DEN,10,265,291,317,21.9,28,2.09,0.324,2,26,96.7,6.83,117,10,13.1,,52,2
QB,11,Trevor Lawrence,JAC,7,270,291,316,20.9,44,1.77,1.07,2,26,79,8.71,121,11,8.99,,46,5
QB,12,Justin Herbert,LAC,7,271,290,316,22.7,39,0.694,0.694,2,28,81.2,9,126,12,8.12,,45,6
QB,13,Patrick Mahomes,KC,5,271,289,318,19.4,58,0,3.77,2,30,92.7,8.81,130,13,13.6,Q,47,9
QB,14,Matthew Stafford,LAR,11,272,286,311,16.3,61,-3.77,6.3,3,38,86.2,9.02,157,14,14.6,,39,17
QB,15,Matthew Stafford,LAR,11,272,286,311,16.3,61,-3.77,6.3,3,38,86.2,9.02,157,14,14.6,,39,17
QB,16,Brock Purdy,SF,8,266,279,292,10.8,22,-10.1,0.583,3,26,96.5,6.2,208,15,12.5,,26,4
QB,17,Jared Goff,DET,6,256,279,305,21.1,67,-10.7,10.4,3,31,108,6.13,213,16,15.2,,49,10
QB,18,Tyler Shough,NO,8,249,268,292,17.3,42,-21.1,0.763,3,26,133,5.27,338,17,19.4,,43,1
QB,19,Baker Mayfield,TB,10,244,268,295,23.7,47,-21.8,4.63,4,31,125,5.39,342,18,18.1,,51,8
QB,20,Kyler Murray,MIN,6,234,263,304,27.5,83,-26.5,3.87,4,29,124,7.01,380,19,16.5,,70,7
QB,21,Jordan Love,GB,11,246,259,286,17.8,31,-30.3,10.6,4,27,133,4.38,410,20,18.6,,40,6
QB,22,C.J. Stroud,HOU,8,224,248,277,22.3,25,-40.9,0.0486,4,24,145,3.45,491,21,23.2,,53,3
QB,23,Malik Willis,MIA,6,226,248,266,15.7,69,-41,3.45,5,27,143,4.54,492,22,20.8,,40,4
QB,24,Sam Darnold,SEA,11,226,245,271,18.2,17,-44.4,1.39,5,29,140,4.97,530,23,22.6,,45,8
QB,25,Bryce Young,CAR,5,221,244,279,24.3,14,-45.8,20,6,25,151,3.51,548,24,25.8,,58,3
QB,26,Daniel Jones,IND,13,109,224,266,65.1,99,-65.8,1.49,6,29,146,3.62,750,25,23.4,,157,7
QB,27,Cam Ward,TEN,9,200,222,258,25.6,50,-67.3,0.965,6,24,149,3.07,770,26,24.8,,58,1
QB,28,Aaron Rodgers,PIT,9,190,221,269,31.4,53,-68.3,0.541,6,42,177,5.64,777,27,28.5,,79,21
QB,29,Jacoby Brissett,ARI,14,181,221,274,37.6,81,-68.8,13,7,33,171,3.55,785,28,26.6,,93,10
QB,30,Geno Smith,NYJ,13,189,208,228,15.6,3,-81.8,38.2,8,35,172,4.49,898,29,28.6,,39,13
QB,31,Fernando Mendoza,LVR,13,140,169,206,25,75,-120,20.8,9,22,147,19.1,1180,30,30.6,,66,0
QB,32,Tua Tagovailoa,ATL,11,101,149,203,51.2,92,-141,20.8,10,28,167,4.55,1200,31,30.9,,102,6
QB,33,Deshaun Watson,CLE,11,60.9,128,191,51.7,94,-162,38.8,11,30,182,3.05,1200,32,33.1,,130.1,9
QB,34,Shedeur Sanders,CLE,11,40,88.9,126,33.7,97,-200,1.51,12,24,186,2.2,1200,33,34.4,,86,1
QB,35,Michael Penix Jr.,ATL,11,37.8,87.4,152,44.9,86,-202,35.6,13,26,172,1.82,1200,34,33.1,Q,114.2,2
QB,36,Kirk Cousins,LVR,13,33.3,51.8,105,32.1,72,-238,10.4,13,38,184,2.7,1200,35,32.7,,71.7,14
QB,37,Marcus Mariota,WAS,7,24,41.4,52,16.4,89,-248,2.62,13,32,,1.03,1210,36,43.3,Q,28,11
RB,1,Jahmyr Gibbs,DET,6,290,298,314,10.8,1,171,8.35,1,24,1.69,61.8,1,1,1.28,,24,3
RB,2,Bijan Robinson,ATL,11,269,290,313,20.7,38,163,20.6,2,24,2.16,61.8,2,2,1.82,,44,3
RB,3,Jonathan Taylor,IND,13,247,269,288,16.9,28,142,15.2,3,27,7.67,52.6,3,3,3.82,,41,6
RB,4,Christian McCaffrey,SF,8,238,254,266,12.4,15,127,8.21,4,30,8.21,55.9,4,4,5.54,Q,28,9
RB,5,Derrick Henry,BAL,13,232,246,271,15.8,30,119,3.99,4,32,20.1,42.1,5,5,7.24,,39,10
RB,6,James Cook,BUF,7,228,242,260,12.2,7,115,11.7,5,26,11.6,46.6,6,6,4.73,,32,4
RB,7,Devon Achane,MIA,6,210,230,255,18.3,48,103,7.75,5,24,14.1,39.1,8,7,11.3,,45,3
RB,8,Saquon Barkley,PHI,10,210,222,238,10.7,8,95.1,0.807,6,29,16.9,48.1,10,8,7.53,,28,8
RB,9,Ashton Jeanty,LVR,13,205,222,256,21.6,61,94.3,6.05,6,22,13.3,40.5,11,9,7.73,,51,1
RB,10,Chase Brown,CIN,6,205,216,234,13.9,23,88.3,4.84,6,26,18.4,37.4,13,10,9.67,,29,3
RB,11,Kenneth Walker III,KC,5,189,211,230,17.7,45,83.5,1.74,6,25,21.3,38.8,14,11,10.1,,41,4
RB,12,Josh Jacobs,GB,11,193,209,222,11.5,11,81.7,2.21,7,28,33.9,30.5,15,12,14.4,Q,29,7
RB,13,Omarion Hampton,LAC,7,189,207,231,17,39,79.5,0.346,7,23,21.3,36.6,17,13,10.5,,42,1
RB,14,Kyren Williams,LAR,11,196,206,218,8.24,1,79.2,4.97,7,25,32.6,28.9,18,14,13,,22,4
RB,15,Javonte Williams,DAL,14,182,201,228,21.3,59,74.2,5.23,7,26,35.4,28.1,19,15,14,,46,5
RB,16,Jeremiyah Love,ARI,14,171,196,217,18.5,42,69,1.16,7,21,26.9,49.5,20,16,17.9,Q,46,0
RB,17,Breece Hall,NYJ,13,171,195,220,21,49,67.8,1.24,8,25,35.5,26.5,21,17,16.4,Q,49,4
RB,18,Travis Etienne,NO,8,181,194,219,15.2,32,66.5,7.77,8,27,45.8,22.8,22,18,19.1,,38,5
RB,19,Cam Skattebo,NYG,8,172,186,198,11.5,14,58.8,0.317,8,24,39.2,18.8,24,19,20.8,,26,1
RB,20,Bucky Irving,TB,10,168,186,217,20.5,58,58.5,1.09,8,24,49.7,15.1,25,20,22,,49,2
RB,21,Quinshon Judkins,CLE,11,156,185,224,25.8,80,57.4,5.55,9,22,49.6,18.1,27,21,21,Q,68,1
RB,22,D'Andre Swift,CHI,10,159,179,200,15.3,31,51.8,4.21,9,27,52.6,19.3,31,22,19.8,,41,6
RB,23,Bhayshul Tuten,JAC,7,168,175,183,6.42,4,47.6,7.66,10,24,60.6,13.2,35,23,23.7,,15,1
RB,24,David Montgomery,HOU,8,156,167,189,13.5,27,40,2.23,10,29,58.8,20.7,39,24,21.2,,33,7
RB,25,TreVeyon Henderson,NE,11,154,165,199,19.4,56,37.7,13.8,11,23,63.7,12,40,25,25.3,,45,1
RB,26,Jaylen Warren,PIT,9,134,151,162,13.1,20,23.9,2.35,11,27,82.7,10.1,53,26,29.3,,28,4
RB,27,Rico Dowdle,PIT,9,133,149,161,11.9,25,21.6,0.671,11,28,89,8.86,59,27,31.2,,28,6
RB,28,Jadarian Price,SEA,11,80,148,185,42.7,96,20.9,0.716,11,22,65.2,25.2,62,28,24.6,,105,0
RB,29,J.K. Dobbins,DEN,10,129,147,160,14,35,20.2,0.556,11,27,99.4,8.93,63,29,31.2,,31,6
RB,30,Rhamondre Stevenson,NE,11,124,147,162,14.7,34,19.6,1.29,11,28,86.4,11.4,66,30,29.3,,38,5
RB,31,Tony Pollard,TEN,9,132,146,157,9.01,10,18.3,7.97,12,29,87.6,11.5,69,31,29.4,,25,7
RB,32,Chuba Hubbard,CAR,5,127,138,150,9.03,13,10.3,4.23,12,27,96.3,8.2,86,32,35.7,Q,23,5
RB,33,Kyle Monangai,CHI,10,117,133,144,11.2,17,6.11,3.45,12,24,108,4.8,98,33,36,Q,27,1
RB,34,Jacory Croskey-Merritt,WAS,7,124,130,140,7.44,3,2.67,2.67,12,25,113,5.48,113,34,34.4,,16,1
RB,35,RJ Harvey,DEN,10,102,127,160,25.6,86,0,0.091,12,25,96.1,5.76,130,35,38.8,,58,1
RB,36,Jordan Mason,MIN,6,109,127,143,14.6,44,-0.091,4.97,13,27,115,5.7,131,36,35.2,,34,4
RB,37,Blake Corum,LAR,11,111,122,141,12.3,21,-5.06,2.21,13,25,111,5.04,167,37,32.5,,30,2
RB,38,Jonathon Brooks,CAR,5,92.4,120,148,21.4,79,-7.28,5.55,13,23,97.6,10.1,185,38,31.9,,55.6,2
RB,39,Rachaad White,WAS,7,88,114,126,17,52,-12.8,1.48,14,27,122,7.35,244,39,38.9,Q,38,4
RB,40,Aaron Jones,MIN,6,90.1,113,125,14.4,41,-14.3,2.6,14,31,123,6.43,262,40,41.6,,34.9,9
RB,41,Kenneth Gainwell,TB,10,78,110,130,21.5,63,-16.9,3.48,14,27,113,6.89,284,41,40.3,,52,5
RB,42,Zach Charbonnet,SEA,11,88.5,107,137,20.1,83,-20.4,4.83,14,25,131,5.79,329,42,47.2,O,48.5,3
RB,43,Woody Marks,HOU,8,89.9,102,109,8.4,18,-25.2,10.4,15,25,139,3.09,367,43,46.7,,19.1,1
RB,44,Tyjae Spears,TEN,9,77.1,91.7,106,11.4,46,-35.6,2.51,15,25,151,3.83,444,44,52.8,,28.9,3
RB,45,Chris Rodriguez,JAC,7,63.9,89.2,115,19.9,73,-38.1,0.134,15,26,143,4.7,463,45,40.3,,51.1,3
RB,46,Isiah Pacheco,DET,6,70.4,89,109,16.1,65,-38.3,4.65,16,27,148,3.05,467,46,51.6,Q,38.6,4
RB,47,Tyrone Tracy,NYG,8,53.6,84.4,107,22.4,85,-42.9,3.56,16,26,142,2.78,517,47,47.2,,53.4,2
RB,48,Tyler Allgeier,ARI,14,67.8,80.8,92.8,12.7,37,-46.5,2.83,16,26,148,3.78,559,48,45.1,,25,4
RB,49,Alvin Kamara,NO,8,53.9,78,89,14.8,70,-49.3,0.703,16,31,144,3.79,591,49,54,Q,35.1,9
RB,50,Brian Robinson,ATL,11,62.7,77.3,86.3,9.84,24,-50,3.59,16,27,160,5.88,603,50,51.4,,23.6,4
RB,51,Devin Singletary,NYG,8,70.8,73.7,75.8,3.96,6,-53.6,1.03,16,28,219,3.48,633,51,84.8,,5,7
RB,52,Malik Davis,DAL,14,61.5,72.7,83.6,16.1,92,-54.6,2.75,17,27,,3.91,644,52,76.9,,22.1,4
RB,53,Justice Hill,BAL,13,58.6,69.9,83.6,10.2,68,-57.4,0.413,17,28,200,1.66,680,53,74.3,,25,7
RB,54,Tank Bigsby,PHI,10,55.9,69.5,93.9,16.4,66,-57.8,2.58,17,23,157,3.24,685,54,49,,38,3
RB,55,Ty Johnson,BUF,7,59.6,66.9,79.8,8.49,55,-60.4,3.42,17,28,186,1.06,706,55,79.2,Q,20.2,7
RB,56,Kareem Hunt,FA,,,63.5,,,76,-63.8,0.0515,17,31,204,,737,56,97.6,,,9
RB,57,Braelon Allen,NYJ,13,44.9,63.4,96.6,20.9,87,-63.8,1.35,17,22,172,2.53,739,57,54.5,,51.7,2
RB,58,Alexander Mattison,MIA,6,,62.1,,,99,-65.2,0.692,17,,,,748,58,138,,,7
RB,59,Dylan Sampson,CLE,11,47.9,61.4,84.9,16.3,62,-65.9,0.00766,17,21,172,1.25,752,59,55.9,,37,1
