round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.7,0.45,323,132,80,1,60,81,6,-1.005
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,3.9,0.48,333,142,87,41,93,68,5,-1.534
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.4,0.89,301,110,89,0,5,44,20,-1.584
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,82,50,24,19,31,-1.745
2,17,1,Nico Collins,WR,9,HOU,8,19.6,22.3,0.95,248,57,75,12,46,35,26,-2.82
2,17,2,George Pickens,WR,10,DAL,14,22.3,22.4,0.95,252,61,59,19,38,39,13,-2.924
2,17,3,Drake London,WR,7,ATL,11,16.0,16.9,0.48,273,82,66,18,95,33,12,-2.982
2,17,4,A.J. Brown,WR,8,NE,11,17.7,19.4,0.82,246,55,88,37,79,31,29,-3.0
3,24,1,Brock Bowers,TE,1,LV,13,20.4,28.1,0.74,231,60,96,24,73,21,10,-3.025
3,24,2,DeVonta Smith,WR,14,PHI,10,29.5,31.1,0.94,227,36,99,10,48,55,30,-3.193
3,24,3,Trey McBride,TE,2,ARI,14,23.9,27.2,0.75,236,65,87,39,39,4,17,-3.205
3,24,4,Javonte Williams,RB,16,DAL,14,35.1,33.8,0.97,217,33,16,2,8,68,11,-3.22
4,37,1,D'Andre Swift,RB,18,CHI,10,46.9,46.0,0.91,207,23,26,7,7,56,16,-3.377
4,37,2,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.78,214,23,61,3,17,60,25,-3.443
4,37,3,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.64,221,30,73,20,39,81,6,-3.488
4,37,4,Tetairoa McMillan,WR,19,CAR,5,39.9,36.8,0.48,222,31,56,2,3,63,21,-3.55
5,44,1,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.31,214,23,61,3,17,60,25,-3.677
5,44,2,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.95,200,9,94,14,71,98,9,-3.695
5,44,3,Jameson Williams,WR,25,DET,6,52.1,54.5,0.91,207,16,37,15,6,44,20,-3.724
5,44,4,Bhayshul Tuten,RB,23,JAX,7,58.9,57.1,0.94,181,-3,66,48,20,39,4,-3.834
6,57,1,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.57,200,9,94,14,71,98,9,-3.837
