round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.7,0.45,323,132,80,1,60,81,6,-0.992
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,3.9,0.48,333,142,87,41,93,68,5,-1.287
1,4,3,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,82,50,24,19,31,-1.666
1,4,4,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.4,0.89,301,110,89,0,5,44,20,-1.671
2,17,1,Omarion Hampton,RB,9,LAC,7,18.6,20.0,0.79,232,48,97,70,53,73,13,-2.752
2,17,2,Kenneth Walker III,RB,10,KC,5,18.9,20.2,0.82,236,52,99,72,89,97,27,-2.789
2,17,3,A.J. Brown,WR,8,NE,11,17.7,19.4,0.82,246,55,88,37,79,31,29,-2.795
2,17,4,Ashton Jeanty,RB,11,LV,13,20.0,19.6,0.77,253,69,95,21,98,18,10,-2.811
3,24,1,Brock Bowers,TE,1,LV,13,20.4,28.1,0.74,231,60,96,24,73,21,10,-2.839
3,24,2,DeVonta Smith,WR,14,PHI,10,29.5,31.1,0.94,227,36,99,10,48,55,30,-3.097
3,24,3,Trey McBride,TE,2,ARI,14,23.9,27.2,0.75,236,65,87,39,39,4,17,-3.099
3,24,4,Malik Nabers,WR,13,NYG,8,29.0,29.3,0.9,230,39,96,95,98,88,1,-3.132
4,37,1,Emeka Egbuka,WR,21,TB,10,40.9,39.9,0.71,224,33,97,17,63,99,11,-3.351
4,37,2,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.64,221,30,73,20,39,81,6,-3.402
4,37,3,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.99,200,9,94,14,71,98,9,-3.434
4,37,4,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.78,214,23,61,3,17,60,25,-3.517
5,44,1,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.95,200,9,94,14,71,98,9,-3.553
5,44,2,Jadarian Price,RB,24,SEA,11,63.0,67.8,0.98,170,-14,96,30,96,99,15,-3.709
5,44,3,Lamar Jackson,QB,2,BAL,13,42.6,47.2,0.66,304,21,75,58,95,95,8,-3.736
5,44,4,Jaylen Waddle,WR,20,DEN,10,40.5,45.1,0.57,208,17,72,34,62,13,14,-3.787
6,57,1,Jadarian Price,RB,24,SEA,11,63.0,67.8,0.85,170,-14,96,30,96,99,15,-3.722
