round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.3,0.39,340,132,66,1,35,-0.977
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,4.3,0.55,366,158,75,84,93,-1.493
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.8,0.91,320,112,84,0,0,-1.501
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.2,0.8,351,143,77,83,16,-1.602
2,17,1,Omarion Hampton,RB,9,LAC,7,18.6,18.3,0.68,265,47,97,76,64,-2.706
2,17,2,Kenneth Walker III,RB,10,KC,5,18.8,18.1,0.67,250,32,96,82,86,-2.779
2,17,3,Drake London,WR,7,ATL,11,16.0,18.7,0.74,296,88,71,59,92,-2.933
2,17,4,A.J. Brown,WR,8,NE,11,17.8,20.5,0.89,263,55,82,73,66,-2.944
3,24,1,DeVonta Smith,WR,14,PHI,10,29.5,32.3,0.96,240,32,100,25,54,-3.074
3,24,2,Nico Collins,WR,9,HOU,8,19.6,23.1,0.39,255,47,79,55,88,-3.166
3,24,3,Brock Bowers,TE,1,LV,13,20.4,23.3,0.45,241,47,96,50,84,-3.202
3,24,4,Chris Olave,WR,11,NO,8,23.9,27.8,0.84,262,54,69,86,94,-3.289
4,37,1,Ladd McConkey,WR,18,LAC,7,39.0,41.8,0.8,215,7,73,4,28,-3.4
4,37,2,Tetairoa McMillan,WR,19,CAR,5,39.9,39.0,0.65,229,21,72,6,6,-3.475
4,37,3,Jaylen Waddle,WR,20,DEN,10,40.4,45.6,0.91,212,4,90,39,56,-3.495
4,37,4,Colston Loveland,TE,3,CHI,10,38.1,43.2,0.8,217,23,93,36,36,-3.539
5,44,1,Luther Burden III,WR,23,CHI,10,50.3,56.5,0.93,208,0,98,18,61,-3.616
5,44,2,Jaylen Waddle,WR,20,DEN,10,40.4,45.6,0.6,212,4,90,39,56,-3.647
5,44,3,Colston Loveland,TE,3,CHI,10,38.1,43.2,0.45,217,23,93,36,36,-3.714
5,44,4,Jameson Williams,WR,25,DET,6,52.1,57.4,0.94,218,10,48,31,5,-3.753
6,57,1,Bhayshul Tuten,RB,23,JAX,7,59.0,58.1,0.56,203,-15,85,45,12,-3.869
6,57,2,Jadarian Price,RB,24,SEA,11,63.0,63.9,0.79,192,-26,86,43,89,-3.925
6,57,3,Rome Odunze,WR,29,CHI,10,60.6,62.2,0.73,213,5,49,11,2,-4.032
6,57,4,TreVeyon Henderson,RB,25,NE,11,63.7,61.9,0.72,201,-17,45,68,11,-4.062
7,64,1,Justin Herbert,QB,9,LAC,7,79.2,87.9,0.96,299,-5,65,12,5,-4.144
