round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,3.0,3.9,0.48,323,132,72,0,75,85,6,-0.91
1,4,2,Puka Nacua,WR,2,LAR,11,3.8,4.4,0.56,333,142,78,74,96,74,5,-1.24
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.2,7.7,0.91,301,110,77,1,19,64,20,-1.588
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,71,77,60,51,31,-1.622
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.73,232,48,98,79,66,85,13,-2.409
2,17,2,Ashton Jeanty,RB,11,LV,13,19.5,20.3,0.82,253,69,92,46,99,70,10,-2.426
2,17,3,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.91,236,52,93,83,85,70,27,-2.454
2,17,4,Nico Collins,WR,9,HOU,8,20.0,23.6,0.97,248,57,75,13,51,74,26,-2.807
3,24,1,Brock Bowers,TE,1,LV,13,20.5,26.5,0.65,231,60,96,47,81,48,10,-2.909
3,24,2,Nico Collins,WR,9,HOU,8,20.0,23.6,0.45,248,57,75,13,51,74,26,-2.967
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.3,0.97,227,36,95,17,37,85,30,-3.007
3,24,4,George Pickens,WR,10,DAL,14,22.6,24.6,0.57,252,61,59,21,36,53,13,-3.097
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.6,0.86,221,30,84,23,26,85,6,-3.119
4,37,2,Emeka Egbuka,WR,20,TB,10,40.9,41.6,0.79,224,33,89,18,48,78,11,-3.271
4,37,3,Jaylen Waddle,WR,21,DEN,10,41.0,47.9,0.94,208,17,85,50,70,85,14,-3.302
4,37,4,Ladd McConkey,WR,18,LAC,7,39.4,42.9,0.84,214,23,73,3,24,85,25,-3.303
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.4,0.98,200,9,98,14,35,85,9,-3.416
5,44,2,Jaylen Waddle,WR,21,DEN,10,41.0,47.9,0.73,208,17,85,50,70,85,14,-3.508
5,44,3,Emeka Egbuka,WR,20,TB,10,40.9,41.6,0.33,224,33,89,18,48,78,11,-3.602
5,44,4,Ladd McConkey,WR,18,LAC,7,39.4,42.9,0.42,214,23,73,3,24,85,25,-3.612
6,57,1,Jadarian Price,RB,24,SEA,11,62.9,67.3,0.84,170,-14,95,54,93,85,15,-3.643
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.4,0.57,181,-3,78,65,46,85,4,-3.751
6,57,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.4,0.91,176,-8,79,67,20,46,26,-3.78
6,57,4,Christian Watson,WR,28,GB,11,58.2,74.7,0.95,187,-4,90,85,72,68,19,-3.869
