round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.7,0.45,323,132,75,0,68,96,6,-0.777
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,3.9,0.48,333,142,78,72,97,81,5,-1.306
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.4,0.89,301,110,80,1,28,60,20,-1.467
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,70,76,63,30,31,-1.661
2,17,1,Nico Collins,WR,9,HOU,8,19.6,22.3,0.95,248,57,76,15,56,80,26,-2.573
2,17,2,George Pickens,WR,10,DAL,14,22.3,22.4,0.95,252,61,46,20,38,45,13,-2.762
2,17,3,A.J. Brown,WR,8,NE,11,17.7,19.4,0.82,246,55,84,75,86,79,29,-2.776
2,17,4,Drake London,WR,7,ATL,11,16.0,16.9,0.48,273,82,63,57,99,17,12,-2.856
3,24,1,DeVonta Smith,WR,14,PHI,10,29.5,31.1,0.94,227,36,97,19,42,96,30,-2.92
3,24,2,Brock Bowers,TE,1,LV,13,20.4,28.1,0.74,231,60,96,47,84,19,10,-3.06
3,24,3,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.99,221,30,73,25,25,96,6,-3.07
3,24,4,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.99,214,23,74,3,26,89,25,-3.135
4,37,1,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.78,214,23,74,3,26,89,25,-3.242
4,37,2,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.64,221,30,73,25,25,96,6,-3.246
4,37,3,Emeka Egbuka,WR,21,TB,10,40.9,39.9,0.71,224,33,90,17,45,87,11,-3.311
4,37,4,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.99,200,9,96,12,36,96,9,-3.32
5,44,1,D'Andre Swift,RB,18,CHI,10,46.9,46.0,0.63,207,23,17,1,8,43,16,-3.506
5,44,2,Bhayshul Tuten,RB,23,JAX,7,58.9,57.1,0.94,181,-3,89,62,45,96,4,-3.518
5,44,3,Colston Loveland,TE,3,CHI,10,38.1,47.5,0.66,200,29,93,16,16,79,30,-3.53
5,44,4,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.95,200,9,96,12,36,96,9,-3.588
6,57,1,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.57,200,9,96,12,36,96,9,-3.78
6,57,2,Jadarian Price,RB,24,SEA,11,63.0,67.8,0.85,170,-14,96,53,97,96,15,-3.811
6,57,3,Tyler Warren,TE,4,IND,13,52.7,57.7,0.54,194,23,90,10,21,61,3,-3.832
6,57,4,Bhayshul Tuten,RB,23,JAX,7,58.9,57.1,0.51,181,-3,89,62,45,96,4,-3.836
7,64,1,Jadarian Price,RB,24,SEA,11,63.0,67.8,0.65,170,-14,96,53,97,96,15,-3.913
7,64,2,Justin Herbert,QB,9,LAC,7,79.4,91.8,0.98,281,-2,85,2,8,88,17,-4.018
7,64,3,Jaylen Warren,RB,26,PIT,9,71.7,70.8,0.76,183,-1,4,14,41,36,1,-4.044
7,64,4,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.99,155,-29,93,59,58,96,7,-4.093
8,77,1,Justin Herbert,QB,9,LAC,7,79.4,91.8,0.88,281,-2,85,2,8,88,17,-4.068
8,77,2,Tucker Kraft,TE,5,GB,11,73.5,87.8,0.74,171,0,99,53,93,70,12,-4.2
8,77,3,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.95,155,-29,93,59,58,96,7,-4.211
8,77,4,Blake Corum,RB,35,LAR,11,102.7,115.2,0.98,128,-56,97,41,47,96,22,-4.23
9,84,1,Tucker Kraft,TE,5,GB,11,73.5,87.8,0.59,171,0,99,53,93,70,12,-4.173
9,84,2,Sam LaPorta,TE,6,DET,6,75.3,88.7,0.6,181,10,81,59,87,53,28,-4.328
9,84,3,Dalton Kincaid,TE,11,BUF,7,112.8,129.7,0.99,154,-17,87,61,76,87,7,-4.412
9,84,4,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.9,155,-29,93,59,58,96,7,-4.438
10,97,1,Blake Corum,RB,35,LAR,11,102.7,115.2,0.87,128,-56,97,41,47,96,22,-4.486
10,97,2,Kyle Monangai,RB,38,CHI,10,110.3,111.2,0.82,148,-36,79,22,17,90,16,-4.517
10,97,3,Jordan Mason,RB,40,MIN,6,111.8,116.6,0.88,141,-43,83,33,60,83,2,-4.539
10,97,4,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.66,155,-29,93,59,58,96,7,-4.559
11,104,1,Kyle Monangai,RB,38,CHI,10,110.3,111.2,0.69,148,-36,79,22,17,90,16,-4.586
11,104,2,Jordan Mason,RB,40,MIN,6,111.8,116.6,0.79,141,-43,83,33,60,83,2,-4.587
11,104,3,RJ Harvey,RB,34,DEN,10,95.6,102.5,0.46,155,-29,93,59,58,96,7,-4.66
11,104,4,Jacory Croskey-Merritt,RB,37,WAS,7,110.2,115.7,0.77,138,-46,85,21,28,27,31,-4.668
12,117,1,Jordan Mason,RB,40,MIN,6,111.8,116.6,0.49,141,-43,83,33,60,83,2,-4.736
12,117,2,Jacory Croskey-Merritt,RB,37,WAS,7,110.2,115.7,0.47,138,-46,85,21,28,27,31,-4.822
12,117,3,Dylan Sampson,RB,50,CLE,11,161.5,163.1,0.97,96,-88,46,7,4,38,3,-4.846
12,117,4,Rachaad White,RB,39,WAS,7,110.8,120.8,0.59,137,-47,82,38,38,3,31,-4.87
13,124,1,Tyler Shough,QB,20,NO,8,135.0,140.7,0.81,255,-28,35,22,2,75,5,-5.001
13,124,2,Dalton Kincaid,TE,11,BUF,7,112.8,129.7,0.63,154,-17,87,61,76,87,7,-5.01
13,124,3,Kyler Murray,QB,17,MIN,6,119.2,129.7,0.63,257,-26,98,65,95,98,2,-5.025
13,124,4,Juwan Johnson,TE,16,NO,8,140.1,148.4,0.88,146,-25,39,13,4,7,8,-5.055
14,137,1,Juwan Johnson,TE,16,NO,8,140.1,148.4,0.72,146,-25,39,13,4,7,8,-5.136
14,137,2,Brenton Strange,TE,18,JAX,7,151.7,156.2,0.82,144,-27,79,24,27,16,16,-5.137
14,137,3,Dalton Kincaid,TE,11,BUF,7,112.8,129.7,0.34,154,-17,87,61,76,87,7,-5.156
14,137,4,Dylan Sampson,RB,50,CLE,11,161.5,163.1,0.87,96,-88,46,7,4,38,3,-5.193
