round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.9,0.48,323,132,72,0,68,99,6,-0.867
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,4.4,0.56,333,142,75,73,96,82,5,-1.377
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.7,0.91,301,110,79,1,27,66,20,-1.554
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,69,78,62,44,31,-1.755
2,17,1,Nico Collins,WR,9,HOU,8,19.6,23.6,0.97,248,57,76,15,56,80,26,-2.663
2,17,2,George Pickens,WR,10,DAL,14,22.3,24.6,0.98,252,61,56,21,38,54,13,-2.812
2,17,3,Drake London,WR,7,ATL,11,16.0,18.2,0.68,273,82,67,59,98,35,12,-2.834
2,17,4,A.J. Brown,WR,8,NE,11,17.7,19.9,0.85,246,55,75,75,87,79,29,-2.886
3,24,1,Brock Bowers,TE,1,LV,13,20.4,26.5,0.65,231,60,96,47,81,45,10,-2.972
3,24,2,DeVonta Smith,WR,14,PHI,10,29.5,33.3,0.97,227,36,96,20,41,99,30,-3.008
3,24,3,George Pickens,WR,10,DAL,14,22.3,24.6,0.57,252,61,56,21,38,54,13,-3.014
3,24,4,Tee Higgins,WR,17,CIN,6,36.5,43.6,1.0,221,30,85,25,23,99,6,-3.125
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.6,0.86,221,30,85,25,23,99,6,-3.192
4,37,2,Ladd McConkey,WR,18,LAC,7,39.0,42.9,0.84,214,23,73,3,28,93,25,-3.313
4,37,3,Emeka Egbuka,WR,21,TB,10,40.9,41.6,0.79,224,33,88,17,45,90,11,-3.371
4,37,4,Luther Burden III,WR,23,CHI,10,50.4,64.4,0.99,200,9,98,12,35,99,9,-3.406
5,44,1,Luther Burden III,WR,23,CHI,10,50.4,64.4,0.98,200,9,98,12,35,99,9,-3.414
