round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.557
2,17,2,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-2.621
2,17,3,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-2.629
2,17,4,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.745
3,24,1,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-2.856
3,24,2,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-2.941
3,24,3,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-2.946
3,24,4,Malik Nabers,WR,13,NYG,8,29.4,31.4,0.99,230,39,86,95,100,49,1,-2.972
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.067
4,37,2,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.219
4,37,3,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.246
4,37,4,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.98,208,17,85,50,70,85,14,-3.251
5,44,1,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.99,181,-3,78,65,45,85,4,-3.46
5,44,2,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.98,170,-14,95,54,93,85,15,-3.475
5,44,3,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.516
5,44,4,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.546
6,57,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,0.84,200,9,98,14,35,85,9,-3.604
6,57,2,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.64
6,57,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-3.779
6,57,4,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,74,68,19,-3.92
7,64,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.43,170,-14,95,54,93,85,15,-3.745
7,64,2,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-3.857
7,64,3,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-3.928
7,64,4,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.92,171,0,99,61,96,68,12,-3.959
8,77,1,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.76,171,0,99,61,96,68,12,-3.919
8,77,2,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.92
8,77,3,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-4.037
8,77,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.99,128,-56,97,41,48,85,22,-4.11
9,84,1,Trevor Lawrence,QB,10,JAX,7,90.7,95.4,0.89,286,3,75,5,58,49,4,-4.046
9,84,2,Caleb Williams,QB,8,CHI,10,79.0,84.6,0.71,279,-4,88,55,55,58,20,-4.13
9,84,3,Jaxson Dart,QB,11,NYG,8,94.5,96.2,0.52,284,1,78,65,42,48,3,-4.163
9,84,4,Kyler Murray,QB,17,MIN,6,119.6,132.6,1.0,257,-26,98,62,98,85,2,-4.177
10,97,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.86,155,-29,99,64,57,85,7,-4.316
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.351
10,97,3,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.97,141,-43,89,34,60,69,2,-4.408
10,97,4,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.43
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.392
11,104,2,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.434
11,104,3,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.75,148,-36,88,23,18,80,16,-4.481
11,104,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.96,138,-46,90,20,34,43,31,-4.531
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.83,141,-43,89,34,60,69,2,-4.534
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.86,138,-46,90,20,34,43,31,-4.639
12,117,3,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,79,68,2,-4.764
12,117,4,Rachaad White,RB,39,WAS,7,110.7,122.6,0.57,137,-47,77,36,40,23,31,-4.79
