round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.577
2,17,2,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.714
2,17,3,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-2.75
2,17,4,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-2.78
3,24,1,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-2.911
3,24,2,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-2.929
3,24,3,Tee Higgins,WR,17,CIN,6,36.5,43.7,1.0,221,30,84,23,26,85,6,-3.04
3,24,4,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.1
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.105
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.222
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.286
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.333
5,44,1,D'Andre Swift,RB,19,CHI,10,46.7,48.3,0.93,207,23,22,1,10,51,16,-3.422
5,44,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.99,181,-3,78,65,45,85,4,-3.562
5,44,3,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.591
5,44,4,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.602
6,57,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,0.84,200,9,98,14,35,85,9,-3.679
6,57,2,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.824
6,57,3,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.847
6,57,4,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-3.861
7,64,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.43,170,-14,95,54,93,85,15,-3.929
7,64,2,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-3.933
7,64,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-3.939
7,64,4,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.02
8,77,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.932
8,77,2,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.76,171,0,99,61,96,68,12,-4.128
8,77,3,Trevor Lawrence,QB,10,JAX,7,90.7,95.4,0.99,286,3,75,5,58,49,4,-4.13
8,77,4,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-4.212
9,84,1,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.61,171,0,99,61,96,68,12,-4.079
9,84,2,Dalton Kincaid,TE,11,BUF,7,115.6,129.7,0.98,154,-17,90,59,81,71,7,-4.304
9,84,3,Jake Ferguson,TE,13,DAL,14,123.8,118.0,0.95,161,-10,16,1,21,51,18,-4.367
9,84,4,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.426
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.471
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.477
10,97,3,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.86,155,-29,99,64,57,85,7,-4.491
10,97,4,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.97,141,-43,89,34,60,69,2,-4.511
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.517
11,104,2,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.537
11,104,3,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.96,138,-46,90,20,34,43,31,-4.59
11,104,4,Rachaad White,RB,39,WAS,7,110.7,122.6,0.76,137,-47,77,36,40,23,31,-4.726
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.83,141,-43,89,34,60,69,2,-4.637
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.86,138,-46,90,20,34,43,31,-4.698
12,117,3,Woody Marks,RB,44,HOU,8,139.3,145.1,0.96,111,-73,70,28,8,30,25,-4.83
12,117,4,Rachaad White,RB,39,WAS,7,110.7,122.6,0.57,137,-47,77,36,40,23,31,-4.84
