round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.827
2,17,2,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.963
2,17,3,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.964
2,17,4,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-3.0
3,24,1,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.1
3,24,2,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.161
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.179
3,24,4,Tee Higgins,WR,17,CIN,6,36.5,43.7,1.0,221,30,84,23,26,85,6,-3.29
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.255
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.372
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.436
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.483
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.591
5,44,2,D'Andre Swift,RB,19,CHI,10,46.7,48.3,0.93,207,23,22,1,10,51,16,-3.722
5,44,3,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.73
5,44,4,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.99,181,-3,78,65,45,85,4,-3.862
6,57,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.974
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.997
6,57,3,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.98,281,-2,92,2,8,77,17,-4.011
6,57,4,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-4.011
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.02
7,64,2,Christian Watson,WR,28,GB,11,58.2,74.9,0.98,187,-4,90,85,74,68,19,-4.163
7,64,3,Parker Washington,WR,30,JAX,7,67.9,78.4,0.98,189,-2,91,64,83,62,7,-4.188
7,64,4,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.94,187,-4,25,5,5,44,8,-4.214
8,77,1,Parker Washington,WR,30,JAX,7,67.9,78.4,0.58,189,-2,91,64,83,62,7,-4.362
8,77,2,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.4,187,-4,25,5,5,44,8,-4.378
8,77,3,Christian Watson,WR,28,GB,11,58.2,74.9,0.55,187,-4,90,85,74,68,19,-4.382
8,77,4,Brian Thomas Jr.,WR,34,JAX,7,78.1,94.6,1.0,180,-11,83,91,34,31,7,-4.403
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.426
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.427
9,84,3,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.99,165,-26,79,30,69,46,4,-4.441
9,84,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.443
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.471
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.477
10,97,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.496
10,97,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.93,165,-26,79,30,69,46,4,-4.502
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.517
11,104,2,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.536
11,104,3,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.537
11,104,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.84,165,-26,79,30,69,46,4,-4.569
12,117,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,79,68,2,-4.655
12,117,2,Jayden Reed,WR,40,GB,11,94.9,119.4,0.97,170,-21,73,41,56,68,19,-4.669
12,117,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.82,166,-25,94,47,49,81,25,-4.731
12,117,4,Josh Downs,WR,39,IND,13,94.7,116.9,0.93,167,-24,76,51,44,40,18,-4.733
