round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.811
2,17,2,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.913
2,17,3,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-3.102
2,17,4,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-3.117
3,24,1,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.11
3,24,2,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.177
3,24,3,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.203
3,24,4,Javonte Williams,RB,16,DAL,14,34.5,33.4,0.92,217,33,17,3,7,62,11,-3.211
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.329
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.4
4,37,3,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.74,200,29,96,16,19,75,30,-3.441
4,37,4,D'Andre Swift,RB,19,CHI,10,46.7,48.3,0.99,207,23,22,1,10,51,16,-3.448
5,44,1,D'Andre Swift,RB,19,CHI,10,46.7,48.3,0.93,207,23,22,1,10,51,16,-3.547
5,44,2,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.574
5,44,3,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.586
5,44,4,Tyler Warren,TE,4,IND,13,54.0,55.4,0.9,194,23,87,10,27,63,3,-3.64
6,57,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,0.84,200,9,98,14,35,85,9,-3.674
6,57,2,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.98,281,-2,92,2,8,77,17,-3.939
6,57,3,DK Metcalf,WR,33,PIT,9,76.1,79.2,1.0,187,-4,25,5,5,44,8,-4.013
6,57,4,Terry McLaurin,WR,24,WAS,7,51.6,55.8,0.53,215,24,35,39,0,56,23,-4.048
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-3.948
7,64,2,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.94,187,-4,25,5,5,44,8,-4.042
7,64,3,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-4.113
7,64,4,Kyle Pitts Sr.,TE,8,ATL,11,81.5,73.1,0.68,180,9,47,13,67,66,4,-4.185
8,77,1,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.4,187,-4,25,5,5,44,8,-4.205
8,77,2,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.76,171,0,99,61,96,68,12,-4.287
8,77,3,Jaylen Warren,RB,26,PIT,9,71.6,76.7,0.56,183,-1,18,17,35,45,1,-4.31
8,77,4,Jake Ferguson,TE,13,DAL,14,123.8,118.0,0.97,161,-10,16,1,21,51,18,-4.312
9,84,1,Jake Ferguson,TE,13,DAL,14,123.8,118.0,0.95,161,-10,16,1,21,51,18,-4.199
9,84,2,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.61,171,0,99,61,96,68,12,-4.238
9,84,3,Juwan Johnson,TE,16,NO,8,144.1,151.9,1.0,146,-25,44,19,4,22,8,-4.332
9,84,4,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,0.94,160,-24,23,26,16,54,7,-4.387
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.44
10,97,2,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,0.68,160,-24,23,26,16,54,7,-4.525
10,97,3,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.531
10,97,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.99,138,-46,90,20,34,43,31,-4.552
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.571
11,104,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.96,138,-46,90,20,34,43,31,-4.581
11,104,3,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.587
11,104,4,J.K. Dobbins,RB,33,DEN,10,94.9,100.5,0.48,160,-24,23,26,16,54,7,-4.629
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.83,141,-43,89,34,60,69,2,-4.687
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.86,138,-46,90,20,34,43,31,-4.689
12,117,3,Dylan Sampson,RB,50,CLE,11,162.9,166.3,0.99,96,-88,48,7,4,44,3,-4.704
12,117,4,Woody Marks,RB,44,HOU,8,139.3,145.1,0.96,111,-73,70,28,8,30,25,-4.764
