round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.613
2,17,2,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.95,236,52,93,83,85,70,27,-2.667
2,17,3,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.827
2,17,4,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.964
3,24,1,Nico Collins,WR,9,HOU,8,20.0,23.7,0.51,248,57,75,13,51,74,26,-2.981
3,24,2,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.061
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.079
3,24,4,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.1
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.155
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.272
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.336
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.383
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.491
5,44,2,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.602
5,44,3,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.63
5,44,4,Tyler Warren,TE,4,IND,13,54.0,55.4,0.9,194,23,87,10,27,63,3,-3.679
6,57,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.974
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.997
6,57,3,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.98,281,-2,92,2,8,77,17,-4.011
6,57,4,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-4.011
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.02
7,64,2,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-4.083
7,64,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-4.089
7,64,4,Christian Watson,WR,28,GB,11,58.2,74.9,0.98,187,-4,90,85,74,68,19,-4.163
8,77,1,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.76,171,0,99,61,96,68,12,-4.128
8,77,2,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-4.262
8,77,3,Kyle Monangai,RB,37,CHI,10,109.5,115.8,1.0,148,-36,88,23,18,80,16,-4.268
8,77,4,Jaylen Warren,RB,26,PIT,9,71.6,76.7,0.56,183,-1,18,17,35,45,1,-4.28
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.276
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.277
9,84,3,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.293
9,84,4,Jordan Mason,RB,40,MIN,6,111.7,125.0,1.0,141,-43,89,34,60,69,2,-4.339
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.471
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.477
10,97,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.496
10,97,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.93,165,-26,79,30,69,46,4,-4.502
11,104,1,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.536
11,104,2,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.84,165,-26,79,30,69,46,4,-4.569
11,104,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.97,166,-25,94,47,49,81,25,-4.573
11,104,4,Josh Downs,WR,39,IND,13,94.7,116.9,0.99,167,-24,76,51,44,40,18,-4.586
12,117,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,79,68,2,-4.655
12,117,2,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.82,166,-25,94,47,49,81,25,-4.731
12,117,3,Josh Downs,WR,39,IND,13,94.7,116.9,0.93,167,-24,76,51,44,40,18,-4.733
12,117,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.55,165,-26,79,30,69,46,4,-4.737
