round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.677
2,17,2,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.814
2,17,3,Drake London,WR,7,ATL,11,16.3,18.2,0.93,273,82,69,60,99,37,12,-2.85
2,17,4,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-2.88
3,24,1,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.0
3,24,2,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.011
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.029
3,24,4,Tee Higgins,WR,17,CIN,6,36.5,43.7,1.0,221,30,84,23,26,85,6,-3.14
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.105
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.222
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.286
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.333
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.441
5,44,2,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.58
5,44,3,Jameson Williams,WR,25,DET,6,52.2,58.0,1.0,207,16,70,46,31,64,20,-3.722
5,44,4,Terry McLaurin,WR,24,WAS,7,51.6,55.8,0.99,215,24,35,39,0,56,23,-3.765
6,57,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.624
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.647
6,57,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-3.661
6,57,4,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-3.695
7,64,1,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-3.883
7,64,2,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-3.889
7,64,3,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.02
7,64,4,Rico Dowdle,RB,30,PIT,9,81.6,86.6,1.0,175,-9,61,72,27,29,1,-4.043
8,77,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.932
8,77,2,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-4.062
8,77,3,Kyle Monangai,RB,37,CHI,10,109.5,115.8,1.0,148,-36,88,23,18,80,16,-4.068
8,77,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.99,128,-56,97,41,48,85,22,-4.086
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.076
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.077
9,84,3,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.093
9,84,4,Jordan Mason,RB,40,MIN,6,111.7,125.0,1.0,141,-43,89,34,60,69,2,-4.139
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.121
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.127
10,97,3,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.97,141,-43,89,34,60,69,2,-4.161
10,97,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.99,138,-46,90,20,34,43,31,-4.211
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.467
11,104,2,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.487
11,104,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.536
11,104,4,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.96,138,-46,90,20,34,43,31,-4.54
12,117,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,79,68,2,-4.655
12,117,2,Jayden Reed,WR,40,GB,11,94.9,119.4,0.97,170,-21,73,41,56,68,19,-4.669
12,117,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.82,166,-25,94,47,49,81,25,-4.731
12,117,4,Josh Downs,WR,39,IND,13,94.7,116.9,0.93,167,-24,76,51,44,40,18,-4.733
