round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Amon-Ra St. Brown,WR,4,DET,6,7.2,7.8,1.0,301,110,77,1,19,64,20,-1.585
1,4,2,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.95,316,125,71,77,61,51,31,-1.623
1,4,3,Justin Jefferson,WR,6,MIN,6,10.9,12.3,1.0,262,71,68,11,50,65,4,-1.997
1,4,4,CeeDee Lamb,WR,5,DAL,14,10.6,11.1,1.0,274,83,32,6,39,53,13,-2.216
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.409
2,17,2,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.95,236,52,93,83,85,70,27,-2.454
2,17,3,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.807
2,17,4,A.J. Brown,WR,8,NE,11,18.1,19.9,0.91,246,55,81,76,77,78,29,-2.871
3,24,1,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-2.946
3,24,2,Nico Collins,WR,9,HOU,8,20.0,23.7,0.51,248,57,75,13,51,74,26,-2.96
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.006
3,24,4,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.091
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.117
4,37,2,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.269
4,37,3,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.296
4,37,4,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.98,208,17,85,50,70,85,14,-3.301
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.416
5,44,2,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.505
5,44,3,Jameson Williams,WR,25,DET,6,52.2,58.0,1.0,207,16,70,46,31,64,20,-3.737
5,44,4,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.99,181,-3,78,65,45,85,4,-3.76
6,57,1,Jadarian Price,RB,24,SEA,11,62.9,67.5,0.68,170,-14,95,54,93,85,15,-3.64
6,57,2,Bhayshul Tuten,RB,23,JAX,7,58.6,58.6,0.43,181,-3,78,65,45,85,4,-3.746
6,57,3,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.98,176,-8,79,67,20,46,26,-3.779
6,57,4,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,74,68,19,-3.87
7,64,1,Christian Watson,WR,28,GB,11,58.2,74.9,0.98,187,-4,90,85,74,68,19,-3.967
7,64,2,TreVeyon Henderson,RB,25,NE,11,63.5,70.6,0.89,176,-8,79,67,20,46,26,-4.007
7,64,3,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.008
7,64,4,Parker Washington,WR,30,JAX,7,67.9,78.4,0.98,189,-2,91,64,83,62,7,-4.011
8,77,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.75,281,-2,92,2,8,77,17,-3.92
8,77,2,RJ Harvey,RB,34,DEN,10,95.9,110.7,1.0,155,-29,99,64,57,85,7,-4.087
8,77,3,Trevor Lawrence,QB,10,JAX,7,90.7,95.4,0.99,286,3,75,5,58,49,4,-4.115
8,77,4,Caleb Williams,QB,8,CHI,10,79.0,84.6,0.86,279,-4,88,55,55,58,20,-4.136
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.101
9,84,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.167
9,84,3,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.236
9,84,4,Jordan Mason,RB,40,MIN,6,111.7,125.0,1.0,141,-43,89,34,60,69,2,-4.236
10,97,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.351
10,97,2,Chris Godwin Jr.,WR,36,TB,10,87.4,103.3,0.96,170,-21,96,84,60,78,11,-4.385
10,97,3,KC Concepcion,WR,49,CLE,11,113.9,133.6,1.0,138,-53,100,58,79,68,2,-4.39
10,97,4,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.98,166,-25,94,47,49,81,25,-4.39
11,104,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,1.0,138,-53,100,58,79,68,2,-4.405
11,104,2,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.434
11,104,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.97,166,-25,94,47,49,81,25,-4.446
11,104,4,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.474
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.83,141,-43,89,34,60,69,2,-4.534
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.6,0.86,138,-46,90,20,34,43,31,-4.639
12,117,3,Rachaad White,RB,39,WAS,7,110.7,122.6,0.57,137,-47,77,36,40,23,31,-4.79
12,117,4,Woody Marks,RB,44,HOU,8,139.3,145.1,0.96,111,-73,70,28,8,30,25,-4.845
