round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Amon-Ra St. Brown,WR,4,DET,6,7.2,7.8,1.0,301,110,77,1,19,64,20,-1.632
1,4,2,Jonathan Taylor,RB,4,IND,13,7.9,6.6,0.85,291,107,27,76,14,58,6,-1.852
1,4,3,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.95,316,125,71,77,61,51,31,-1.976
1,4,4,James Cook III,RB,5,BUF,7,10.5,10.4,0.98,257,73,58,42,54,85,17,-1.987
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.802
2,17,2,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.811
2,17,3,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.95,236,52,93,83,85,70,27,-2.884
2,17,4,Javonte Williams,RB,16,DAL,14,34.5,33.4,1.0,217,33,17,3,7,62,11,-2.897
3,24,1,Javonte Williams,RB,16,DAL,14,34.5,33.4,0.92,217,33,17,3,7,62,11,-2.911
3,24,2,Nico Collins,WR,9,HOU,8,20.0,23.7,0.51,248,57,75,13,51,74,26,-3.064
3,24,3,George Pickens,WR,10,DAL,14,22.6,24.7,0.75,252,61,59,21,36,53,13,-3.11
3,24,4,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,37,85,30,-3.177
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.079
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.15
4,37,3,Tetairoa McMillan,WR,19,CAR,5,40.3,38.9,0.71,222,31,42,4,1,29,21,-3.288
4,37,4,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.294
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.436
5,44,2,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.574
5,44,3,Tyler Warren,TE,4,IND,13,54.0,55.4,0.9,194,23,87,10,27,63,3,-3.64
5,44,4,D'Andre Swift,RB,19,CHI,10,46.7,48.3,0.93,207,23,22,1,10,51,16,-3.647
6,57,1,DK Metcalf,WR,33,PIT,9,76.1,79.2,1.0,187,-4,25,5,5,44,8,-3.863
6,57,2,Terry McLaurin,WR,24,WAS,7,51.6,55.8,0.53,215,24,35,39,0,56,23,-3.898
6,57,3,Jameson Williams,WR,25,DET,6,52.2,58.0,0.71,207,16,70,46,31,64,20,-3.916
6,57,4,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.98,281,-2,92,2,8,77,17,-3.939
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-3.948
7,64,2,Jaylen Warren,RB,26,PIT,9,71.6,76.7,1.0,183,-1,18,17,35,45,1,-4.113
