round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
2,17,1,Chase Brown,RB,8,CIN,6,16.0,15.5,0.38,261,77,73,4,29,61,8,-2.759
2,17,2,Nico Collins,WR,9,HOU,8,20.0,23.7,0.99,248,57,75,13,51,74,26,-2.811
2,17,3,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,37,53,13,-2.916
2,17,4,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.54,232,48,98,79,66,85,13,-3.102
3,24,1,Nico Collins,WR,9,HOU,8,20.0,23.7,0.56,248,57,75,13,51,74,26,-3.064
3,24,2,George Pickens,WR,10,DAL,14,22.6,24.7,0.81,252,61,59,21,37,53,13,-3.113
3,24,3,DeVonta Smith,WR,14,PHI,10,30.1,33.4,1.0,227,36,95,17,36,85,30,-3.174
3,24,4,Brock Bowers,TE,1,LV,13,20.8,26.2,0.4,231,60,93,47,79,48,10,-3.206
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,25,85,6,-3.226
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.92,214,23,74,3,23,85,25,-3.294
4,37,3,Colston Loveland,TE,3,CHI,10,39.1,45.2,0.65,200,29,96,16,16,75,30,-3.435
4,37,4,Tetairoa McMillan,WR,19,CAR,5,40.3,38.9,0.81,222,31,42,4,1,29,21,-3.438
5,44,1,Colston Loveland,TE,3,CHI,10,39.1,45.2,0.4,200,29,96,16,16,75,30,-3.569
5,44,2,Luther Burden III,WR,23,CHI,10,50.7,64.6,1.0,200,9,98,14,35,85,9,-3.586
5,44,3,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.5,214,23,74,3,23,85,25,-3.601
5,44,4,Tyler Warren,TE,4,IND,13,54.0,55.1,0.81,194,23,87,10,27,63,3,-3.642
6,57,1,Luther Burden III,WR,23,CHI,10,50.7,64.6,0.94,200,9,98,14,35,85,9,-3.623
6,57,2,Justin Herbert,QB,9,LAC,7,80.1,87.9,0.98,281,-2,92,2,8,77,17,-3.939
6,57,3,DK Metcalf,WR,33,PIT,9,76.1,79.2,1.0,187,-4,25,5,5,44,8,-3.963
6,57,4,Terry McLaurin,WR,24,WAS,7,51.6,55.8,0.5,215,24,35,39,0,56,23,-3.998
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,87.9,0.93,281,-2,92,2,8,77,17,-3.95
7,64,2,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.98,187,-4,25,5,5,44,8,-4.042
7,64,3,Jaylen Warren,RB,26,PIT,9,71.6,76.8,1.0,183,-1,21,17,35,45,1,-4.108
7,64,4,Trevor Lawrence,QB,10,JAX,7,90.7,94.0,1.0,286,3,72,5,62,49,4,-4.245
8,77,1,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.47,187,-4,25,5,5,44,8,-4.205
8,77,2,Jaylen Warren,RB,26,PIT,9,71.6,76.8,0.53,183,-1,21,17,35,45,1,-4.304
8,77,3,J.K. Dobbins,RB,33,DEN,10,94.9,100.6,0.99,160,-24,24,26,16,54,7,-4.353
8,77,4,Michael Wilson,WR,38,ARI,14,94.2,93.1,0.98,172,-19,26,16,7,17,22,-4.38
9,84,1,J.K. Dobbins,RB,33,DEN,10,94.9,100.6,0.96,160,-24,24,26,16,54,7,-4.385
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.9,0.99,148,-36,88,23,18,80,16,-4.395
9,84,3,Michael Wilson,WR,38,ARI,14,94.2,93.1,0.91,172,-19,26,16,7,17,22,-4.442
9,84,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,1.0,165,-26,79,30,67,46,4,-4.477
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.9,0.91,148,-36,88,23,18,80,16,-4.439
10,97,2,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,55,68,19,-4.523
10,97,3,Xavier Worthy,WR,50,KC,5,118.1,123.0,1.0,160,-31,51,24,3,65,17,-4.524
10,97,4,Blake Corum,RB,35,LAR,11,102.2,119.3,0.91,128,-56,97,41,47,85,22,-4.527
11,104,1,Xavier Worthy,WR,50,KC,5,118.1,123.0,0.99,160,-31,51,24,3,65,17,-4.555
11,104,2,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,55,68,19,-4.563
11,104,3,Blake Corum,RB,35,LAR,11,102.2,119.3,0.84,128,-56,97,41,47,85,22,-4.567
11,104,4,Jordan Mason,RB,40,MIN,6,111.7,125.1,0.96,141,-43,89,34,58,69,2,-4.58
12,117,1,Jordan Mason,RB,40,MIN,6,111.7,125.1,0.87,141,-43,89,34,58,69,2,-4.68
12,117,2,Jacory Croskey-Merritt,RB,38,WAS,7,109.9,123.7,0.89,138,-46,90,20,34,43,31,-4.688
12,117,3,Blake Corum,RB,35,LAR,11,102.2,119.3,0.53,128,-56,97,41,47,85,22,-4.701
12,117,4,Dylan Sampson,RB,50,CLE,11,162.9,166.7,1.0,96,-88,49,7,4,44,3,-4.702
