round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Amon-Ra St. Brown,WR,4,DET,6,7.2,7.8,1.0,301,110,77,1,19,64,20,-1.712
1,4,2,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.95,316,125,71,77,60,51,31,-1.886
1,4,3,Jonathan Taylor,RB,4,IND,13,7.9,6.7,0.87,291,107,27,76,15,58,6,-1.898
1,4,4,James Cook III,RB,5,BUF,7,10.5,10.4,0.98,257,73,58,42,53,85,17,-1.979
2,17,1,Chase Brown,RB,8,CIN,6,16.0,15.5,0.38,261,77,73,4,29,61,8,-2.525
2,17,2,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.54,232,48,98,79,66,85,13,-2.663
2,17,3,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.97,236,52,93,83,85,70,27,-2.717
2,17,4,Nico Collins,WR,9,HOU,8,20.0,23.7,0.99,248,57,75,13,51,74,26,-2.827
3,24,1,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.47,236,52,93,83,85,70,27,-3.032
3,24,2,Nico Collins,WR,9,HOU,8,20.0,23.7,0.56,248,57,75,13,51,74,26,-3.081
3,24,3,Javonte Williams,RB,16,DAL,14,34.5,33.5,0.94,217,33,17,3,8,62,11,-3.097
3,24,4,Brock Bowers,TE,1,LV,13,20.8,26.2,0.4,231,60,93,47,79,48,10,-3.103
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,25,85,6,-3.103
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.92,214,23,74,3,23,85,25,-3.219
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.9,224,33,89,18,48,78,11,-3.286
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.6,1.0,200,9,98,14,35,85,9,-3.333
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.6,1.0,200,9,98,14,35,85,9,-3.441
5,44,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.5,214,23,74,3,23,85,25,-3.526
5,44,3,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.9,208,17,85,50,69,85,14,-3.579
5,44,4,Colston Loveland,TE,3,CHI,10,39.1,45.2,0.4,200,29,96,16,16,75,30,-3.602
6,57,1,Jameson Williams,WR,25,DET,6,52.2,58.0,0.74,207,16,70,46,31,64,20,-3.921
6,57,2,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,72,68,19,-3.963
6,57,3,Parker Washington,WR,30,JAX,7,67.9,78.4,1.0,189,-2,91,64,83,62,7,-4.007
6,57,4,Justin Herbert,QB,9,LAC,7,80.1,87.9,0.98,281,-2,92,2,8,77,17,-4.011
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,87.9,0.93,281,-2,92,2,8,77,17,-4.022
7,64,2,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,72,68,19,-4.16
7,64,3,Tucker Kraft,TE,5,GB,11,75.2,88.5,0.91,171,0,99,61,96,68,12,-4.17
7,64,4,Parker Washington,WR,30,JAX,7,67.9,78.4,0.99,189,-2,91,64,83,62,7,-4.188
8,77,1,Tucker Kraft,TE,5,GB,11,75.2,88.5,0.72,171,0,99,61,96,68,12,-4.131
8,77,2,Sam LaPorta,TE,6,DET,6,76.5,82.5,0.38,181,10,79,56,87,62,28,-4.302
8,77,3,Parker Washington,WR,30,JAX,7,67.9,78.4,0.69,189,-2,91,64,83,62,7,-4.362
8,77,4,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.47,187,-4,25,5,5,44,8,-4.378
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.8,1.0,155,-29,99,64,55,85,7,-4.422
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.9,0.99,148,-36,88,23,18,80,16,-4.427
9,84,3,Jordan Addison,WR,42,MIN,6,98.1,111.7,1.0,165,-26,79,30,67,46,4,-4.438
9,84,4,Blake Corum,RB,35,LAR,11,102.2,119.3,0.98,128,-56,97,41,47,85,22,-4.441
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.9,0.91,148,-36,88,23,18,80,16,-4.471
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.3,0.91,128,-56,97,41,47,85,22,-4.475
10,97,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,55,68,19,-4.494
10,97,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.93,165,-26,79,30,67,46,4,-4.499
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.3,0.84,128,-56,97,41,47,85,22,-4.515
11,104,2,Jordan Mason,RB,40,MIN,6,111.7,125.1,0.96,141,-43,89,34,58,69,2,-4.534
11,104,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,55,68,19,-4.534
11,104,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.85,165,-26,79,30,67,46,4,-4.566
12,117,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,78,68,2,-4.653
12,117,2,Jayden Reed,WR,40,GB,11,94.9,119.4,0.98,170,-21,73,41,55,68,19,-4.667
12,117,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.83,166,-25,94,47,49,81,25,-4.731
12,117,4,Josh Downs,WR,39,IND,13,94.7,116.9,0.94,167,-24,76,51,43,40,18,-4.731
